i,j
62,1
73,1
74,1
75,1
1,2
5,2
7,2
10,2
14,2
22,2
24,2
26,2
27,2
38,2
39,2
42,2
55,2
67,2
70,2
72,2
1,3
2,3
3,3
5,3
8,3
14,3
15,3
22,3
26,3
27,3
29,3
30,3
38,3
39,3
42,3
45,3
49,3
55,3
56,3
70,3
72,3
1,4
2,4
3,4
5,4
15,4
26,4
27,4
29,4
30,4
40,4
42,4
70,4
1,5
5,5
25,5
26,5
27,5
37,5
38,5
73,5
74,5
1,6
2,6
3,6
5,6
14,6
15,6
22,6
24,6
25,6
26,6
27,6
29,6
38,6
39,6
42,6
51,6
54,6
55,6
56,6
67,6
70,6
1,7
23,7
31,7
39,7
45,7
62,7
73,7
74,7
75,7
1,8
2,8
3,8
7,8
8,8
10,8
11,8
14,8
15,8
17,8
18,8
20,8
22,8
23,8
24,8
26,8
27,8
44,8
45,8
48,8
49,8
52,8
55,8
56,8
60,8
61,8
62,8
63,8
65,8
69,8
70,8
71,8
72,8
1,9
2,9
3,9
5,9
7,9
8,9
10,9
14,9
15,9
17,9
18,9
22,9
23,9
24,9
26,9
27,9
29,9
37,9
42,9
44,9
45,9
48,9
49,9
52,9
54,9
55,9
56,9
60,9
61,9
62,9
63,9
65,9
69,9
70,9
71,9
72,9
1,10
5,10
7,10
10,10
14,10
18,10
22,10
23,10
24,10
25,10
26,10
27,10
37,10
39,10
44,10
45,10
54,10
55,10
60,10
61,10
62,10
63,10
65,10
69,10
71,10
72,10
73,10
74,10
75,10
1,11
7,11
10,11
18,11
23,11
24,11
25,11
26,11
27,11
44,11
45,11
60,11
61,11
62,11
63,11
65,11
67,11
71,11
72,11
73,11
74,11
75,11
1,12
5,12
7,12
10,12
14,12
15,12
18,12
23,12
24,12
25,12
26,12
27,12
44,12
45,12
54,12
55,12
60,12
61,12
62,12
63,12
65,12
67,12
69,12
71,12
72,12
73,12
74,12
75,12
1,13
7,13
10,13
18,13
23,13
24,13
25,13
26,13
27,13
44,13
45,13
60,13
61,13
62,13
63,13
65,13
67,13
71,13
72,13
73,13
74,13
75,13
1,14
5,14
7,14
10,14
14,14
15,14
18,14
23,14
24,14
25,14
26,14
27,14
44,14
45,14
54,14
55,14
60,14
61,14
62,14
63,14
65,14
67,14
69,14
71,14
72,14
73,14
74,14
75,14
1,15
5,15
7,15
10,15
14,15
15,15
16,15
18,15
23,15
24,15
25,15
26,15
27,15
44,15
45,15
54,15
55,15
60,15
61,15
62,15
63,15
65,15
67,15
69,15
71,15
72,15
73,15
74,15
75,15
5,16
7,16
18,16
22,16
23,16
24,16
26,16
27,16
39,16
45,16
67,16
73,16
74,16
75,16
76,16
1,17
5,17
7,17
10,17
14,17
15,17
17,17
18,17
22,17
23,17
24,17
26,17
27,17
48,17
54,17
55,17
56,17
60,17
61,17
62,17
63,17
65,17
67,17
72,17
75,17
75,18
1,19
2,19
3,19
8,19
10,19
17,19
18,19
20,19
23,19
26,19
27,19
48,19
49,19
51,19
56,19
60,19
61,19
63,19
65,19
1,20
8,20
18,20
23,20
27,20
34,20
49,20
61,20
62,20
1,21
2,21
3,21
5,21
7,21
8,21
10,21
11,21
13,21
15,21
17,21
18,21
22,21
23,21
24,21
26,21
27,21
29,21
42,21
45,21
48,21
49,21
51,21
56,21
60,21
61,21
62,21
63,21
65,21
69,21
70,21
71,21
72,21
1,22
18,22
24,22
62,22
67,22
73,22
74,22
75,22
18,23
62,23
73,23
74,23
75,23
1,24
18,24
24,24
25,24
62,24
67,24
73,24
74,24
75,24
1,25
5,25
18,25
62,25
73,25
74,25
18,26
24,26
26,26
45,26
73,26
74,26
1,27
5,27
7,27
18,27
24,27
25,27
26,27
38,27
45,27
62,27
67,27
73,27
74,27
75,27
1,28
2,28
3,28
5,28
6,28
18,28
26,28
27,28
29,28
30,28
38,28
39,28
56,28
70,28
1,29
2,29
3,29
5,29
6,29
7,29
10,29
14,29
15,29
18,29
22,29
24,29
25,29
26,29
27,29
29,29
38,29
39,29
42,29
56,29
63,29
65,29
67,29
70,29
72,29
76,29
1,30
5,30
18,30
26,30
27,30
38,30
73,30
74,30
73,31
74,31
75,31
8,32
9,32
19,32
21,32
34,32
35,32
41,32
42,32
49,32
50,32
57,32
58,32
8,33
19,33
32,33
34,33
35,33
41,33
42,33
1,34
2,34
3,34
8,34
10,34
14,34
15,34
17,34
18,34
20,34
22,34
26,34
27,34
37,34
44,34
48,34
49,34
52,34
54,34
55,34
56,34
61,34
63,34
65,34
69,34
71,34
72,34
1,35
7,35
8,35
15,35
17,35
18,35
20,35
22,35
26,35
34,35
38,35
48,35
49,35
51,35
55,35
56,35
60,35
61,35
63,35
65,35
69,35
2,36
3,36
4,36
5,36
6,36
16,36
18,36
21,36
26,36
27,36
28,36
29,36
30,36
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,36
1,37
24,37
25,37
26,37
62,37
67,37
73,37
74,37
75,37
1,38
24,38
45,38
62,38
67,38
73,38
74,38
75,38
1,40
2,40
3,40
5,40
6,40
26,40
27,40
70,40
74,40
1,41
2,41
3,41
5,41
6,41
26,41
27,41
29,41
70,41
2,42
3,42
5,42
26,42
27,42
29,42
30,42
70,42
45,46
1,47
4,47
5,47
18,47
26,47
27,47
30,47
38,47
40,47
44,47
45,47
71,47
7,48
10,48
14,48
18,48
22,48
24,48
39,48
55,48
61,48
62,48
67,48
75,48
1,49
2,49
8,49
10,49
17,49
22,49
23,49
24,49
27,49
45,49
49,49
51,49
56,49
60,49
61,49
63,49
65,49
69,49
71,49
72,49
2,50
3,50
8,50
9,50
10,50
11,50
14,50
15,50
17,50
19,50
20,50
21,50
22,50
24,50
26,50
27,50
34,50
35,50
38,50
42,50
48,50
49,50
51,50
52,50
55,50
56,50
63,50
65,50
69,50
71,50
72,50
1,51
5,51
7,51
10,51
14,51
15,51
18,51
23,51
24,51
26,51
27,51
45,51
54,51
55,51
60,51
61,51
62,51
63,51
65,51
69,51
71,51
72,51
73,51
74,51
75,51
1,52
7,52
10,52
18,52
23,52
24,52
26,52
27,52
45,52
60,52
61,52
62,52
63,52
65,52
71,52
72,52
73,52
74,52
75,52
1,53
5,53
7,53
10,53
14,53
15,53
18,53
23,53
24,53
26,53
27,53
45,53
54,53
55,53
60,53
61,53
62,53
63,53
65,53
67,53
69,53
71,53
72,53
73,53
74,53
75,53
1,54
5,54
7,54
10,54
14,54
15,54
18,54
23,54
24,54
26,54
27,54
45,54
54,54
55,54
60,54
61,54
62,54
63,54
65,54
67,54
69,54
71,54
72,54
73,54
74,54
75,54
1,55
7,55
10,55
18,55
23,55
24,55
26,55
27,55
45,55
60,55
61,55
62,55
63,55
65,55
67,55
71,55
72,55
73,55
74,55
75,55
1,56
5,56
7,56
10,56
13,56
14,56
15,56
17,56
22,56
23,56
24,56
25,56
26,56
27,56
29,56
48,56
52,56
54,56
55,56
56,56
60,56
61,56
62,56
63,56
65,56
67,56
72,56
75,56
2,57
3,57
8,57
9,57
10,57
14,57
15,57
17,57
19,57
20,57
21,57
22,57
24,57
26,57
27,57
34,57
35,57
38,57
42,57
48,57
49,57
51,57
55,57
56,57
61,57
63,57
65,57
72,57
2,58
3,58
8,58
9,58
10,58
11,58
14,58
15,58
17,58
19,58
20,58
21,58
22,58
24,58
26,58
27,58
34,58
35,58
38,58
42,58
48,58
49,58
51,58
52,58
56,58
61,58
63,58
65,58
69,58
71,58
72,58
8,59
9,59
19,59
21,59
32,59
34,59
35,59
40,59
41,59
42,59
49,59
50,59
52,59
56,59
57,59
58,59
18,60
62,60
73,60
74,60
75,60
62,61
73,61
74,61
75,61
75,62
45,63
62,63
72,63
74,63
75,63
2,64
3,64
8,64
9,64
15,64
17,64
20,64
21,64
34,64
35,64
42,64
49,64
56,64
63,64
62,65
72,65
74,65
75,65
2,66
3,66
8,66
9,66
13,66
15,66
20,66
21,66
34,66
44,66
49,66
52,66
56,66
63,66
