i,j
20,1
28,1
1,2
3,2
7,2
26,2
27,2
26,3
2,4
3,4
5,4
6,4
7,4
9,4
10,4
13,4
17,4
18,4
20,4
28,4
1,5
3,5
7,5
8,5
9,5
20,5
22,5
27,5
28,5
1,6
3,6
8,6
9,6
15,6
18,6
20,6
26,6
27,6
28,6
7,7
15,7
26,7
27,7
7,8
15,8
17,8
15,9
22,10
27,10
2,11
3,11
4,11
5,11
6,11
7,11
9,11
10,11
13,11
17,11
18,11
20,11
28,11
4,12
5,12
6,12
10,12
11,12
13,12
14,12
16,12
1,13
3,13
5,13
7,13
8,13
15,13
20,13
22,13
27,13
28,13
1,14
8,14
9,14
13,14
14,14
17,14
18,14
20,14
21,14
22,14
1,15
1,16
6,16
7,16
8,16
9,16
10,16
13,16
14,16
18,16
20,16
21,16
22,16
1,17
20,17
26,17
27,17
7,18
8,18
9,19
21,19
15,21
27,21
15,22
15,23
8,24
21,24
4,25
6,25
11,25
14,25
16,25
19,25
21,25
23,25
24,25
26,26
