i,j
25,1
1,2
8,2
13,2
15,2
16,2
17,2
18,2
19,2
23,2
25,2
26,2
28,2
29,2
37,2
29,3
37,3
1,4
2,4
3,4
7,4
8,4
9,4
10,4
11,4
13,4
15,4
23,4
30,4
35,4
36,4
14,5
16,5
17,5
19,5
26,5
28,5
29,5
1,6
2,6
3,6
5,6
7,6
8,6
10,6
23,6
24,6
27,6
30,6
31,6
32,6
33,6
34,6
36,6
39,6
26,7
1,8
16,8
16,9
19,9
14,10
17,10
28,10
1,11
2,11
8,11
9,11
10,11
12,11
13,11
15,11
22,11
23,11
24,11
30,11
32,11
35,11
36,11
38,11
18,12
28,12
37,12
19,13
25,13
14,14
26,14
1,15
13,15
14,15
16,15
17,15
25,15
37,15
17,16
28,16
1,17
16,17
17,17
18,17
25,17
17,18
29,18
19,19
1,20
5,20
8,20
10,20
22,20
23,20
24,20
30,20
32,20
33,20
35,20
36,20
39,20
20,21
22,21
36,21
37,22
2,23
14,23
18,23
17,24
25,24
28,24
37,24
18,25
29,26
26,27
16,28
18,29
28,29
29,29
12,30
17,30
19,30
28,30
1,31
2,31
10,31
12,31
15,31
22,31
30,31
34,31
35,31
36,31
38,31
26,32
25,33
17,34
29,34
18,35
2,36
8,36
23,36
26,36
29,36
37,36
14,37
19,37
1,38
28,38
37,39
1,40
2,40
5,40
8,40
10,40
11,40
17,40
20,40
22,40
23,40
24,40
27,40
30,40
31,40
32,40
33,40
35,40
36,40
38,40
39,40
