i,j
3,1
13,1
1,2
3,2
7,2
8,2
11,2
28,2
1,3
7,3
8,3
11,3
14,3
16,3
28,3
1,4
3,4
9,4
10,4
17,4
20,4
22,4
23,4
28,4
7,5
11,5
5,6
7,6
16,6
11,7
13,7
16,7
8,8
11,8
1,9
3,9
5,9
6,9
8,9
10,9
17,9
20,9
22,9
25,9
26,9
27,9
28,9
29,9
8,10
14,10
16,10
8,11
11,11
11,12
13,12
16,12
13,13
11,14
8,15
14,15
11,16
16,16
8,17
13,17
14,17
1,18
6,18
8,18
12,18
17,18
19,18
22,18
25,18
26,18
28,18
29,18
7,19
8,19
11,19
13,19
16,19
5,20
11,20
3,21
5,21
6,21
8,21
17,21
20,21
22,21
26,21
27,21
30,21
5,22
7,23
11,23
14,23
1,24
3,24
12,24
15,24
17,24
21,24
22,24
23,24
25,24
28,24
29,24
30,24
7,26
8,26
14,27
8,28
14,28
7,29
11,29
14,29
11,30
2,31
18,31
19,31
22,31
26,31
2,32
3,32
8,32
9,32
12,32
15,32
17,32
18,32
19,32
20,32
21,32
22,32
25,32
26,32
27,32
29,32
