i,j
1,2
6,2
1,3
6,3
1,4
5,4
6,4
1,5
4,5
6,5
30,5
2,7
6,7
30,7
4,8
5,8
6,8
3,10
4,10
8,10
9,10
30,10
2,11
8,11
9,11
20,11
2,12
3,12
4,12
5,12
8,12
9,12
30,12
38,12
3,13
5,13
9,13
2,14
3,14
4,14
9,14
17,14
30,14
38,14
3,15
8,15
9,15
17,15
20,15
4,16
8,16
9,16
38,16
2,17
4,17
5,17
9,17
2,18
3,18
4,18
5,18
8,18
9,18
17,18
30,18
38,18
4,19
5,19
9,19
2,20
5,20
9,20
4,21
8,21
9,21
20,21
30,21
38,21
11,22
14,22
15,22
16,22
17,22
19,22
20,22
28,22
29,22
36,22
11,23
13,23
14,23
15,23
18,23
19,23
20,23
21,23
22,23
29,23
32,23
5,24
11,24
13,24
14,24
15,24
16,24
17,24
19,24
20,24
21,24
27,24
28,24
29,24
32,24
36,24
5,25
13,25
17,25
20,25
21,25
24,25
26,25
27,25
28,25
29,25
32,25
35,25
4,26
5,26
14,26
15,26
16,26
19,26
20,26
21,26
28,26
29,26
32,26
36,26
2,27
3,27
4,27
5,27
8,27
2,28
20,28
2,29
3,29
4,29
5,29
8,29
17,29
20,29
30,29
38,29
2,30
4,30
38,30
2,31
3,31
4,31
8,31
38,31
4,32
4,33
5,33
7,33
8,33
10,33
11,33
12,33
13,33
14,33
15,33
16,33
17,33
19,33
20,33
21,33
24,33
26,33
27,33
28,33
29,33
31,33
34,33
37,33
2,34
3,34
4,34
5,34
8,34
38,34
3,35
4,35
5,35
17,35
30,35
4,36
30,37
38,37
5,38
30,38
2,39
3,39
4,39
5,39
7,39
10,39
11,39
12,39
13,39
14,39
15,39
16,39
17,39
18,39
19,39
20,39
21,39
22,39
24,39
28,39
29,39
31,39
32,39
34,39
35,39
36,39
37,39
