i,j
1,2
3,2
4,2
5,2
6,2
7,2
8,2
12,2
13,2
17,2
19,2
20,2
24,2
25,2
26,2
28,2
30,2
17,4
18,4
19,4
23,4
26,4
34,4
35,4
18,8
19,8
34,8
35,8
6,9
8,9
13,9
36,9
1,10
3,10
4,10
5,10
6,10
8,10
11,10
15,10
20,10
3,12
8,12
11,12
16,12
17,12
18,12
19,12
23,12
26,12
34,12
35,12
1,14
3,14
4,14
5,14
6,14
8,14
12,14
13,14
15,14
16,14
17,14
20,14
23,14
26,14
28,14
23,15
26,15
35,15
18,17
35,17
19,18
1,21
3,21
4,21
5,21
6,21
8,21
12,21
13,21
15,21
16,21
17,21
20,21
23,21
26,21
28,21
1,22
3,22
4,22
5,22
6,22
7,22
8,22
12,22
13,22
17,22
19,22
20,22
24,22
25,22
26,22
28,22
30,22
23,24
34,24
23,25
23,27
26,27
3,28
19,28
23,28
35,28
17,29
23,29
26,29
18,30
35,30
3,31
5,31
6,31
7,31
8,31
11,31
12,31
16,31
17,31
23,31
24,31
26,31
30,31
35,31
23,32
26,32
23,33
26,33
23,36
