i,j
1,1
9,1
11,1
21,1
1,2
7,2
8,2
18,2
20,2
25,2
3,4
6,4
7,4
8,4
12,4
13,4
15,4
18,4
3,5
6,5
9,5
11,5
12,5
14,5
15,5
9,6
11,6
14,6
17,6
18,6
21,6
9,7
11,7
17,7
18,7
21,7
9,8
11,8
17,8
18,8
21,8
9,9
11,9
14,9
9,10
11,10
14,10
17,10
18,10
21,10
9,11
11,11
9,12
17,12
21,12
9,13
11,13
17,13
18,13
21,13
9,14
11,14
21,14
9,15
11,15
17,15
21,15
9,16
11,16
17,16
18,16
21,16
9,17
11,17
17,17
18,17
21,17
9,18
11,18
14,18
17,18
21,18
9,19
11,19
14,19
15,19
17,19
18,19
21,19
11,20
14,20
15,20
17,20
21,20
11,21
17,21
21,21
11,22
15,22
17,22
18,22
21,22
9,23
11,23
17,24
18,24
17,25
18,25
21,25
17,26
18,26
21,26
3,27
6,27
7,27
8,27
9,27
11,27
12,27
13,27
14,27
15,27
16,27
17,27
18,27
19,27
20,27
21,27
22,27
24,27
25,27
26,27
