i,j
1,2
45,2
1,3
45,3
3,4
5,4
6,4
7,4
8,4
9,4
46,4
1,5
45,5
1,6
45,6
1,7
45,7
1,8
45,8
1,9
45,9
3,10
4,10
5,10
6,10
7,10
8,10
9,10
29,10
46,10
10,12
11,12
13,12
22,12
23,12
24,12
26,12
27,12
28,12
38,12
39,12
40,12
41,12
44,12
10,14
11,14
13,14
22,14
23,14
24,14
26,14
28,14
38,14
44,14
10,15
11,15
13,15
22,15
23,15
24,15
26,15
27,15
28,15
38,15
39,15
40,15
41,15
44,15
10,16
11,16
13,16
22,16
23,16
24,16
26,16
28,16
38,16
44,16
10,17
11,17
13,17
22,17
23,17
24,17
26,17
28,17
38,17
44,17
11,18
13,18
22,18
23,18
26,18
27,18
38,18
39,18
40,18
41,18
11,19
13,19
22,19
23,19
26,19
27,19
38,19
39,19
40,19
41,19
11,20
13,20
22,20
23,20
26,20
27,20
38,20
39,20
40,20
41,20
21,22
47,22
21,23
47,23
36,24
25,26
36,26
25,27
36,27
42,27
36,28
1,29
45,29
1,30
45,30
1,31
45,31
1,32
45,32
1,33
45,33
1,34
45,34
1,35
45,35
36,37
36,38
36,39
36,40
2,41
29,41
30,41
31,41
32,41
33,41
34,41
35,41
43,41
46,44
