i,j
1,2
4,2
5,2
6,2
7,2
1,3
5,3
6,3
7,3
1,4
6,4
7,4
1,5
1,6
2,8
3,8
5,8
11,8
2,9
3,9
5,9
11,9
2,10
3,10
5,10
11,10
3,11
4,11
5,11
2,12
3,12
8,12
9,12
10,12
20,12
21,12
22,12
2,13
3,13
8,13
9,13
10,13
20,13
21,13
22,13
2,14
3,14
8,14
9,14
10,14
20,14
21,14
22,14
2,15
3,15
8,15
9,15
10,15
11,15
20,15
21,15
22,15
2,16
3,16
9,16
10,16
11,16
2,17
3,17
9,17
10,17
11,17
22,17
2,18
3,18
9,18
10,18
11,18
22,18
2,19
3,19
9,19
10,19
11,19
22,19
2,20
3,20
11,20
22,20
2,21
3,21
11,21
22,21
2,22
3,22
11,22
2,23
8,23
9,23
15,23
19,23
20,23
2,24
8,24
9,24
15,24
19,24
20,24
