i,j
4,1
21,1
1,2
3,2
4,2
6,2
7,2
8,2
9,2
10,2
11,2
16,2
18,2
20,2
21,2
22,2
1,3
3,3
4,3
6,3
7,3
8,3
10,3
11,3
16,3
18,3
20,3
21,3
22,3
23,3
4,4
22,4
1,5
3,5
4,5
6,5
8,5
18,5
21,5
22,5
4,6
4,7
21,7
4,8
6,8
21,8
1,9
3,9
4,9
6,9
8,9
18,9
20,9
21,9
22,9
1,10
4,10
6,10
21,10
22,10
23,10
4,11
6,11
21,11
1,12
4,12
6,12
8,12
9,12
18,12
21,12
22,12
23,12
1,13
3,13
4,13
6,13
7,13
8,13
9,13
10,13
11,13
16,13
18,13
20,13
21,13
22,13
23,13
1,14
3,14
4,14
6,14
7,14
8,14
9,14
10,14
11,14
16,14
18,14
20,14
21,14
22,14
23,14
1,15
3,15
4,15
6,15
7,15
8,15
10,15
11,15
16,15
18,15
20,15
21,15
22,15
23,15
1,17
3,17
4,17
6,17
7,17
8,17
9,17
10,17
11,17
16,17
18,17
20,17
21,17
22,17
23,17
3,19
8,19
18,19
20,19
21,19
22,19
21,22
23,22
6,23
