i,j
38,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
31,2
39,2
40,2
38,3
33,6
38,6
41,6
47,6
38,7
47,7
47,8
33,9
38,9
42,9
43,9
33,10
42,10
43,10
47,10
48,10
47,13
43,14
47,14
47,15
47,16
47,17
47,18
47,20
47,21
47,23
47,24
47,25
47,26
32,27
33,27
38,27
46,27
47,27
47,29
4,30
6,30
10,30
12,30
13,30
18,30
21,30
23,30
24,30
25,30
39,30
38,31
32,33
4,34
6,34
10,34
12,34
13,34
18,34
21,34
23,34
24,34
25,34
39,34
4,35
6,35
10,35
12,35
13,35
18,35
21,35
23,35
24,35
25,35
39,35
1,36
3,36
4,36
5,36
6,36
7,36
8,36
9,36
10,36
11,36
12,36
13,36
14,36
15,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
23,36
24,36
25,36
26,36
27,36
28,36
29,36
31,36
39,36
40,36
5,37
11,37
21,37
25,37
29,37
47,38
33,39
38,39
43,39
44,45
47,45
49,46
46,50
47,51
47,52
