i,j
11,1
12,1
37,1
49,1
1,2
8,2
10,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
37,2
46,2
48,2
1,3
8,3
10,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
37,3
46,3
48,3
1,4
8,4
10,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
37,4
46,4
48,4
1,5
8,5
10,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
37,5
46,5
48,5
1,6
8,6
10,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
37,6
46,6
48,6
1,7
8,7
10,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
37,7
46,7
48,7
8,9
10,9
37,9
11,10
12,10
24,10
49,10
11,11
12,11
24,11
49,11
11,12
12,12
24,12
49,12
11,13
12,13
24,13
49,13
11,14
12,14
24,14
49,14
11,15
12,15
24,15
49,15
11,16
12,16
24,16
49,16
11,17
12,17
24,17
49,17
11,18
12,18
24,18
49,18
11,19
12,19
24,19
49,19
11,20
12,20
24,20
49,20
11,21
12,21
24,21
49,21
11,22
12,22
24,22
37,22
46,22
49,22
11,23
12,23
24,23
37,23
46,23
49,23
11,24
12,24
24,24
49,24
13,25
37,25
46,25
48,25
13,26
37,26
46,26
48,26
13,27
37,27
46,27
48,27
13,28
37,28
46,28
48,28
13,29
37,29
46,29
48,29
13,30
37,30
46,30
48,30
13,31
37,31
46,31
48,31
13,32
37,32
46,32
48,32
13,33
37,33
46,33
48,33
13,34
37,34
46,34
48,34
13,35
37,35
46,35
48,35
13,36
37,36
46,36
48,36
49,37
50,37
37,38
46,38
37,39
46,39
37,40
46,40
37,41
46,41
37,42
46,42
37,43
46,43
37,44
46,44
37,45
46,45
49,46
21,47
46,47
50,48
49,49
50,49
50,50
