i,j
19,1
44,1
45,1
46,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
16,2
17,2
18,2
19,2
20,2
23,2
25,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
19,3
44,3
45,3
46,3
19,4
44,4
45,4
46,4
19,5
44,5
45,5
46,5
19,6
44,6
45,6
46,6
19,7
44,7
45,7
46,7
19,8
44,8
45,8
46,8
9,10
21,10
22,10
24,10
9,11
21,11
22,11
24,11
9,12
21,12
22,12
24,12
9,13
21,13
22,13
24,13
9,14
21,14
22,14
24,14
9,15
21,15
22,15
24,15
9,16
21,16
22,16
24,16
9,17
21,17
22,17
24,17
9,18
21,18
22,18
24,18
9,20
21,20
22,20
24,20
9,23
21,23
22,23
24,23
9,25
21,25
22,25
24,25
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,38
26,39
26,40
26,41
26,42
26,43
