i,j
1,1
6,1
7,1
8,1
9,1
10,1
28,1
1,2
7,2
8,2
9,2
10,2
11,2
13,2
14,2
16,2
1,3
2,3
4,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
6,4
7,4
8,4
9,4
10,4
4,5
7,5
8,5
9,5
10,5
13,5
14,5
15,5
16,5
17,5
18,5
6,7
7,7
6,8
7,8
6,9
7,9
6,10
7,10
8,10
1,11
6,11
11,11
28,11
7,12
8,12
9,12
10,12
13,12
14,12
1,13
7,13
8,13
9,13
10,13
11,13
1,14
4,14
6,14
7,14
8,14
9,14
11,14
13,14
14,14
1,15
4,15
7,15
8,15
9,15
10,15
11,15
13,15
14,15
16,15
1,16
4,16
7,16
8,16
9,16
16,16
4,17
7,17
8,17
9,17
11,17
13,17
14,17
1,18
4,18
7,18
8,18
9,18
11,18
13,18
14,18
16,18
2,19
4,19
5,19
7,19
8,19
9,19
10,19
13,19
14,19
15,19
16,19
17,19
18,19
20,19
4,20
8,20
9,20
13,20
14,20
15,20
16,20
17,20
18,20
1,21
2,21
7,21
8,21
9,21
10,21
11,21
12,21
15,21
16,21
17,21
18,21
2,22
4,22
5,22
12,22
13,22
14,22
15,22
16,22
17,22
18,22
20,22
1,23
2,23
4,23
7,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
18,23
2,24
4,24
7,24
8,24
9,24
10,24
13,24
14,24
15,24
17,24
18,24
4,25
7,25
8,25
9,25
10,25
12,25
13,25
14,25
16,25
17,25
18,25
1,26
4,26
11,26
12,26
13,26
14,26
15,26
16,26
17,26
18,26
2,27
3,27
4,27
5,27
12,27
13,27
14,27
15,27
16,27
17,27
18,27
19,27
20,27
21,27
22,27
23,27
