i,j
6,1
13,1
24,1
26,1
27,1
28,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,3
15,3
24,3
27,3
28,3
1,4
3,4
5,4
6,4
8,4
13,4
14,4
17,4
18,4
19,4
20,4
24,4
25,4
26,4
27,4
29,4
5,5
15,5
16,5
24,5
25,5
26,5
27,5
24,6
26,6
27,6
3,7
8,7
16,7
26,7
27,7
28,7
1,8
3,8
6,8
8,8
14,8
16,8
17,8
18,8
27,8
6,9
19,9
27,9
1,10
3,10
8,10
10,10
13,10
14,10
16,10
19,10
24,10
27,10
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
14,11
15,11
17,11
18,11
19,11
20,11
21,11
22,11
25,11
26,11
27,11
28,11
29,11
1,12
7,12
12,12
14,12
16,12
17,12
16,13
1,14
3,14
6,14
13,14
14,14
16,14
19,14
26,14
27,14
3,15
8,15
13,15
14,15
15,15
24,15
25,15
26,15
27,15
16,16
1,17
14,17
16,17
19,17
24,17
26,17
27,17
1,18
3,18
14,18
16,18
17,18
24,18
25,18
27,18
28,18
16,19
26,19
5,20
16,20
17,20
18,20
1,21
3,21
14,21
16,21
17,21
18,21
19,21
22,21
28,21
3,22
7,22
8,22
16,22
18,22
19,22
20,22
22,22
28,22
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,23
12,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
24,23
25,23
26,23
1,24
27,24
1,25
14,25
26,25
1,26
3,27
14,27
24,27
26,27
15,28
27,28
4,29
5,29
6,29
7,29
9,29
10,29
11,29
12,29
14,29
15,29
17,29
18,29
20,29
21,29
22,29
25,29
28,29
29,29
4,30
5,30
6,30
7,30
10,30
11,30
12,30
15,30
19,30
21,30
22,30
28,30
29,30
