i,j
1,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
17,2
19,2
20,2
21,2
22,2
23,2
24,2
41,3
1,4
3,4
8,4
11,4
15,4
17,4
19,4
20,4
23,4
24,4
28,4
17,5
40,5
41,5
1,6
5,6
7,6
15,6
16,6
23,6
24,6
33,6
17,7
40,7
41,7
11,12
17,12
27,12
28,12
29,12
34,12
35,12
36,12
11,13
15,13
17,13
28,13
34,13
35,13
36,13
39,13
41,13
15,14
17,14
28,14
15,16
17,16
28,16
35,16
38,16
41,16
1,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
17,18
19,18
20,18
21,18
22,18
23,18
24,18
26,19
26,20
17,21
41,21
17,22
40,22
41,22
17,25
28,25
35,25
38,25
42,25
26,27
28,27
30,27
31,27
32,27
28,29
27,33
29,37
42,37
