i,j
37,1
38,1
1,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
15,2
32,2
34,2
1,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
15,3
32,3
34,3
36,4
39,4
39,5
35,6
36,6
39,6
42,6
30,7
31,7
39,7
42,7
39,8
42,8
31,9
39,9
42,9
39,10
42,10
39,11
42,11
42,12
42,13
12,14
13,14
28,14
29,14
39,14
42,14
42,15
15,16
18,16
19,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
15,17
29,17
42,17
21,19
22,19
23,19
24,19
25,19
26,19
27,19
19,20
21,20
22,20
23,20
24,20
25,20
26,20
27,20
36,21
36,22
29,23
33,23
35,23
35,24
34,25
35,25
36,25
41,25
42,25
41,29
39,32
40,32
39,34
40,34
42,40
15,43
18,43
19,43
21,43
22,43
23,43
24,43
25,43
26,43
27,43
