i,j
9,1
10,1
1,2
3,2
4,2
11,2
14,2
9,3
10,3
12,3
3,4
5,4
6,4
12,4
13,4
14,4
21,4
3,5
5,5
6,5
12,5
13,5
14,5
21,5
22,5
3,6
5,6
6,6
12,6
13,6
14,6
21,6
22,6
3,7
12,7
13,7
14,7
22,7
7,8
23,8
24,8
25,8
26,8
27,8
35,8
36,8
9,9
10,9
9,10
10,10
9,11
10,11
9,12
10,12
9,13
10,13
9,14
10,14
3,15
5,15
6,15
11,15
21,15
22,15
3,16
5,16
6,16
11,16
21,16
22,16
3,17
5,17
6,17
11,17
21,17
22,17
3,18
7,18
11,18
24,18
27,18
3,19
7,19
11,19
24,19
27,19
3,20
7,20
11,20
24,20
27,20
3,21
5,21
6,21
12,21
13,21
14,21
21,21
22,21
3,22
5,22
6,22
12,22
13,22
14,22
21,22
22,22
3,23
5,23
6,23
12,23
13,23
14,23
21,23
22,23
3,24
5,24
6,24
12,24
13,24
14,24
21,24
3,25
5,25
6,25
12,25
13,25
14,25
21,25
22,25
3,26
12,26
13,26
14,26
22,26
3,27
12,27
13,27
14,27
22,27
3,28
5,28
6,28
12,28
13,28
14,28
21,28
22,28
3,29
5,29
6,29
12,29
13,29
14,29
21,29
22,29
3,30
5,30
6,30
12,30
13,30
14,30
21,30
22,30
3,31
5,31
6,31
12,31
13,31
14,31
21,31
22,31
3,32
5,32
6,32
12,32
13,32
14,32
21,32
22,32
3,33
5,33
6,33
12,33
13,33
14,33
21,33
22,33
3,34
5,34
6,34
12,34
13,34
14,34
21,34
22,34
3,35
5,35
6,35
12,35
13,35
14,35
21,35
22,35
3,36
5,36
6,36
12,36
13,36
14,36
21,36
22,36
3,37
7,38
23,38
24,38
25,38
26,38
27,38
35,38
36,38
7,39
24,39
27,39
7,40
24,40
27,40
7,41
24,41
27,41
7,42
24,42
27,42
7,43
24,43
27,43
7,44
24,44
27,44
7,45
24,45
27,45
7,46
24,46
27,46
7,47
24,47
27,47
7,48
24,48
7,49
24,49
7,50
24,50
