i,j
1,2
24,2
31,2
36,2
46,2
49,2
54,2
55,2
1,3
36,3
38,3
42,3
44,3
52,3
54,3
55,3
1,4
22,4
24,4
39,4
47,4
49,4
52,4
54,4
55,4
5,6
7,6
14,6
22,6
23,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
36,6
38,6
39,6
41,6
47,6
7,8
14,8
22,8
26,8
27,8
29,8
30,8
34,8
36,8
38,8
39,8
41,8
47,8
7,9
14,9
22,9
1,10
7,10
14,10
24,10
28,10
36,10
39,10
49,10
55,10
7,11
14,11
27,11
29,11
31,11
38,11
39,11
49,11
52,11
54,11
1,12
24,12
32,12
44,12
46,12
49,12
52,12
54,12
55,12
1,13
22,13
23,13
29,13
36,13
49,13
52,13
54,13
55,13
14,15
22,15
29,15
36,15
38,15
47,15
14,16
22,16
27,16
29,16
34,16
36,16
38,16
39,16
47,16
14,17
22,17
47,17
14,18
22,18
47,18
49,18
14,19
22,19
29,19
31,19
36,19
39,19
46,19
47,19
14,20
26,20
28,20
29,20
36,20
38,20
41,20
47,20
14,21
29,21
32,21
47,21
24,25
49,25
52,25
54,25
34,35
49,35
52,35
54,35
36,37
49,37
52,37
54,37
55,37
39,40
47,40
42,43
44,43
49,43
52,43
54,43
44,45
49,45
52,45
54,45
55,45
47,48
49,50
52,50
54,50
49,51
52,51
54,51
55,51
52,53
54,53
31,56
32,56
39,56
49,56
