i,j
1,2
1,3
9,3
10,3
16,3
22,3
23,3
24,3
26,3
1,4
9,4
10,4
16,4
22,4
23,4
24,4
26,4
1,5
9,5
10,5
16,5
26,5
1,6
9,6
10,6
16,6
22,6
23,6
26,6
1,7
9,7
1,8
3,8
4,8
5,8
6,8
11,8
12,8
14,8
15,8
16,8
21,8
24,8
25,8
27,8
9,10
9,11
9,12
9,13
10,13
10,14
10,15
23,15
24,16
2,17
4,17
6,17
7,17
11,17
12,17
13,17
14,17
15,17
16,17
21,17
3,18
4,18
5,18
6,18
7,18
11,18
13,18
14,18
15,18
16,18
21,18
25,18
27,18
3,19
6,19
11,19
12,19
14,19
15,19
21,19
24,19
25,19
12,20
25,20
26,21
27,28
3,29
4,29
5,29
6,29
7,29
11,29
12,29
13,29
14,29
15,29
21,29
24,29
25,29
27,29
