i,j
18,1
20,1
21,1
22,1
23,1
24,1
1,2
9,2
11,2
12,2
13,2
16,2
17,2
18,2
19,2
1,3
9,3
11,3
12,3
13,3
16,3
17,3
18,3
19,3
1,4
9,4
11,4
12,4
13,4
16,4
17,4
18,4
19,4
1,5
8,5
9,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
1,6
8,6
9,6
11,6
12,6
13,6
18,6
19,6
23,6
1,7
8,7
9,7
11,7
12,7
13,7
18,7
19,7
23,7
18,8
19,8
20,8
21,8
22,8
23,8
24,8
18,9
22,9
23,9
24,9
9,10
11,10
12,10
14,10
15,10
16,10
17,10
18,10
19,10
18,11
22,11
23,11
24,11
18,12
22,12
23,12
24,12
18,13
23,13
18,14
19,14
18,15
19,15
19,16
20,16
21,16
22,16
24,16
18,17
19,17
20,17
21,17
22,17
24,17
22,18
23,18
24,18
22,19
24,19
22,20
24,20
22,21
24,21
23,22
24,22
1,25
8,25
9,25
11,25
12,25
13,25
14,25
15,25
17,25
18,25
19,25
23,25
