i,j
1,2
6,2
17,2
25,2
1,3
17,3
25,3
26,3
1,4
26,4
1,5
2,5
3,5
6,5
7,5
17,5
18,5
21,5
25,5
6,7
17,7
25,7
2,8
6,8
7,8
26,8
2,9
6,9
7,9
17,9
18,9
21,9
25,9
2,10
3,10
6,10
7,10
17,10
18,10
21,10
25,10
2,11
3,11
6,11
7,11
17,11
18,11
21,11
25,11
2,12
3,12
6,12
7,12
17,12
18,12
21,12
25,12
2,13
3,13
6,13
7,13
17,13
18,13
21,13
25,13
2,14
3,14
6,14
7,14
17,14
18,14
21,14
25,14
2,15
3,15
6,15
7,15
17,15
18,15
21,15
25,15
2,16
3,16
6,16
7,16
18,16
21,16
25,16
25,17
17,18
26,18
17,19
17,20
17,21
25,21
2,22
3,22
7,22
17,22
18,22
21,22
3,23
7,23
17,23
21,23
25,23
1,24
2,24
3,24
4,24
6,24
7,24
17,24
18,24
19,24
20,24
21,24
25,24
26,24
31,24
32,24
2,27
3,27
17,27
18,27
2,28
7,28
18,28
21,28
25,28
2,29
3,29
7,29
18,29
25,29
4,30
19,30
20,30
26,30
31,30
