i,j
13,1
14,1
15,1
16,1
18,1
19,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
13,3
14,3
15,3
16,3
18,3
19,3
13,4
15,4
18,4
19,4
13,5
15,5
18,5
19,5
13,6
15,6
18,6
19,6
13,7
15,7
18,7
19,7
13,8
15,8
18,8
19,8
13,9
14,9
15,9
16,9
18,9
19,9
13,10
14,10
15,10
16,10
18,10
19,10
13,11
14,11
15,11
16,11
18,11
19,11
14,12
18,12
19,12
16,17
18,17
19,17
1,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,20
23,20
24,20
4,21
5,21
6,21
7,21
8,21
9,21
10,21
11,21
17,21
6,22
7,22
8,22
9,22
10,22
11,22
12,22
15,23
18,23
19,23
15,24
18,24
19,24
