i,j
1,2
16,2
35,2
43,2
44,2
45,2
46,2
3,4
22,4
3,5
22,5
3,6
22,6
3,7
22,7
44,7
3,8
22,8
44,8
1,9
3,9
22,9
29,9
35,9
38,9
40,9
44,9
45,9
1,10
3,10
16,10
20,10
28,10
38,10
40,10
43,10
44,10
45,10
46,10
1,11
3,11
12,11
29,11
35,11
38,11
40,11
44,11
45,11
46,11
12,13
29,13
35,13
38,13
40,13
12,14
35,14
45,14
12,15
29,15
35,15
40,15
44,15
1,17
16,17
29,17
35,17
38,17
40,17
45,17
46,17
1,18
16,18
20,18
16,19
20,19
1,21
20,21
38,21
40,21
46,21
22,23
22,24
22,25
22,26
46,26
22,27
40,27
29,30
35,30
38,30
40,30
44,30
29,31
35,31
40,31
44,31
45,31
46,31
1,32
29,32
35,32
38,32
40,32
43,32
29,33
35,33
40,33
44,33
29,34
38,34
40,34
44,34
45,34
1,36
35,36
40,36
44,36
45,36
35,37
46,37
1,39
38,39
40,39
44,39
1,41
40,41
44,41
1,42
40,42
45,42
46,42
