i,j
15,1
30,1
34,1
55,1
85,1
1,2
4,2
8,2
9,2
10,2
11,2
12,2
13,2
16,2
17,2
19,2
20,2
21,2
22,2
23,2
24,2
29,2
35,2
40,2
42,2
45,2
47,2
56,2
57,2
60,2
62,2
69,2
70,2
72,2
73,2
82,2
1,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
16,3
17,3
19,3
20,3
21,3
22,3
23,3
24,3
29,3
35,3
40,3
42,3
45,3
47,3
53,3
57,3
60,3
62,3
69,3
73,3
74,3
82,3
30,4
85,4
4,5
34,5
36,5
37,5
38,5
39,5
40,5
45,5
47,5
67,5
68,5
75,5
76,5
30,6
30,7
30,8
30,9
30,10
30,11
30,12
30,13
34,13
82,13
30,14
14,15
27,15
30,15
52,15
71,15
83,15
14,16
27,16
30,16
83,16
14,17
27,17
30,17
83,17
14,18
27,18
30,18
64,18
76,18
25,19
28,19
30,19
32,19
25,20
28,20
30,20
32,20
25,21
28,21
30,21
32,21
25,22
28,22
30,22
32,22
25,23
28,23
30,23
32,23
25,24
28,24
30,24
32,24
56,24
28,25
30,25
32,25
25,26
30,26
32,26
75,27
27,28
30,28
64,28
76,28
83,28
37,29
75,29
85,29
52,30
30,31
82,31
59,32
75,32
83,32
85,32
88,32
32,33
43,33
64,33
76,33
43,36
60,36
76,36
88,36
76,38
43,40
41,42
44,42
63,42
76,42
85,42
44,45
46,47
55,47
76,47
88,47
46,48
76,48
83,48
85,48
88,48
46,49
60,49
63,49
76,49
88,49
46,50
83,50
85,50
51,52
76,52
51,53
51,54
76,54
85,54
55,56
55,57
85,57
55,58
59,60
63,60
88,60
53,61
59,61
76,61
83,61
85,61
88,61
59,62
63,62
76,62
83,62
85,62
88,62
65,66
71,66
76,66
85,66
85,68
88,69
76,70
83,70
88,70
76,71
88,73
89,76
76,77
76,78
83,78
85,78
76,79
85,79
88,79
76,80
76,81
83,84
85,86
85,87
1,90
8,90
9,90
10,90
11,90
12,90
13,90
31,90
