i,j
8,1
18,1
25,1
1,2
9,2
11,2
15,2
16,2
18,2
19,2
20,2
33,2
1,3
9,3
15,3
18,3
20,3
25,4
1,5
4,5
9,5
10,5
11,5
15,5
16,5
18,5
19,5
20,5
22,5
33,5
1,6
4,6
9,6
10,6
11,6
15,6
16,6
18,6
19,6
20,6
22,6
33,6
1,7
4,7
9,7
11,7
15,7
16,7
20,7
22,7
33,7
8,9
25,9
18,10
22,10
8,11
25,11
1,12
4,12
9,12
10,12
11,12
15,12
16,12
18,12
19,12
20,12
33,12
1,13
4,13
9,13
11,13
15,13
16,13
18,13
19,13
20,13
22,13
33,13
1,14
4,14
9,14
11,14
15,14
16,14
18,14
19,14
20,14
22,14
33,14
11,15
18,15
25,15
11,16
16,16
18,16
25,16
1,17
4,17
9,17
10,17
11,17
15,17
16,17
18,17
19,17
20,17
33,17
8,18
18,18
25,18
11,19
18,19
25,19
25,20
1,21
9,21
11,21
15,21
16,21
18,21
19,21
20,21
33,21
25,22
1,23
9,23
11,23
15,23
16,23
18,23
19,23
20,23
4,24
8,25
1,26
4,26
9,26
11,26
15,26
16,26
18,26
19,26
20,26
33,26
20,27
4,28
9,28
10,28
15,28
19,28
33,28
9,29
15,29
20,29
11,30
33,30
9,31
15,31
18,31
20,31
18,32
25,33
25,34
25,35
25,36
9,37
19,37
25,38
25,39
25,40
25,41
1,42
4,42
9,42
10,42
11,42
15,42
16,42
18,42
19,42
20,42
33,42
