i,j
1,2
46,2
47,2
55,2
2,3
7,3
9,3
2,4
7,4
9,4
2,5
12,5
2,6
45,6
2,8
7,8
9,8
2,10
7,10
9,10
2,11
7,11
9,11
2,12
7,12
9,12
2,13
7,13
9,13
27,13
2,14
7,14
9,14
10,14
12,14
27,14
30,14
34,14
45,14
58,14
3,15
8,15
23,15
30,15
41,15
3,16
14,16
15,16
17,16
19,16
21,16
22,16
24,16
25,16
27,16
28,16
33,16
38,16
39,16
43,16
44,16
48,16
49,16
51,16
56,16
57,16
59,16
60,16
3,17
8,17
23,17
30,17
41,17
3,18
15,18
17,18
19,18
21,18
22,18
24,18
31,18
38,18
43,18
57,18
8,19
23,19
41,19
11,20
13,20
14,20
15,20
17,20
19,20
21,20
22,20
24,20
28,20
29,20
31,20
32,20
33,20
38,20
43,20
44,20
48,20
49,20
53,20
54,20
57,20
3,22
8,22
23,22
30,22
41,22
2,23
7,23
9,23
8,24
23,24
41,24
4,26
10,26
25,26
31,26
32,26
33,26
37,26
39,26
56,26
57,26
2,27
7,27
9,27
3,28
4,28
8,28
23,28
41,28
2,29
4,29
12,29
2,30
7,30
9,30
2,32
7,32
9,32
2,33
7,33
9,33
2,34
2,35
7,35
9,35
2,36
7,36
9,36
2,37
7,37
9,37
2,38
7,38
9,38
2,39
4,39
7,39
9,39
5,40
10,40
11,40
13,40
14,40
25,40
28,40
29,40
31,40
32,40
33,40
39,40
44,40
49,40
51,40
53,40
54,40
56,40
59,40
60,40
35,42
36,42
3,44
50,51
52,51
52,53
52,54
2,59
50,59
52,59
6,61
29,61
33,61
34,61
35,61
36,61
