i,j
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
6,16
7,16
12,16
13,16
15,16
35,16
37,16
41,16
55,16
57,16
66,16
6,18
7,18
14,18
17,18
3,19
6,19
7,19
13,19
14,19
17,19
40,19
41,19
54,19
1,20
5,20
7,20
13,20
17,20
35,20
41,20
55,20
56,20
57,20
65,20
3,21
7,21
13,21
17,21
29,21
3,22
4,22
6,22
7,22
12,22
13,22
14,22
17,22
38,22
40,22
41,22
58,22
7,23
17,23
64,23
4,24
7,24
17,24
40,24
50,24
3,25
5,25
6,25
7,25
9,25
11,25
13,25
14,25
17,25
38,25
40,25
41,25
56,25
7,26
14,26
17,26
38,26
41,26
52,26
3,28
6,28
7,28
13,28
14,28
17,28
27,28
41,28
54,28
5,30
7,30
9,30
12,30
13,30
29,30
35,30
55,30
4,31
5,31
6,31
7,31
10,31
12,31
13,31
17,31
29,31
3,32
4,32
5,32
6,32
7,32
9,32
11,32
12,32
13,32
14,32
17,32
38,32
40,32
41,32
50,32
56,32
3,33
4,33
6,33
7,33
13,33
14,33
17,33
38,33
40,33
41,33
50,33
65,33
4,34
5,34
6,34
7,34
13,34
38,34
40,34
41,34
1,36
3,36
6,36
7,36
8,36
9,36
11,36
12,36
13,36
15,36
35,36
40,36
55,36
3,39
4,39
5,39
6,39
7,39
9,39
11,39
12,39
13,39
17,39
38,39
40,39
41,39
3,42
6,42
7,42
13,42
14,42
17,42
40,42
41,42
54,42
7,43
13,43
41,43
7,44
14,44
17,44
38,44
41,44
52,44
7,45
17,45
64,45
7,46
9,46
17,46
40,46
54,46
65,46
3,47
7,47
29,47
64,47
7,48
13,48
35,48
41,48
55,48
57,48
35,49
5,51
7,51
6,53
8,53
10,53
12,53
13,53
5,59
5,60
6,61
8,61
10,61
12,61
13,61
7,62
9,63
