i,j
27,1
29,1
1,2
19,2
22,2
24,2
27,2
11,3
12,3
13,3
27,3
3,4
5,4
11,5
12,5
13,5
6,7
9,7
10,7
6,8
9,8
10,8
1,11
29,11
1,12
26,12
29,12
26,13
29,13
1,14
22,14
26,14
27,14
14,15
27,15
1,16
19,16
22,16
24,16
26,16
27,16
16,17
18,17
25,17
1,18
19,18
22,18
24,18
27,18
22,19
27,19
29,19
1,20
19,20
22,20
24,20
27,20
1,21
19,21
22,21
24,21
27,21
27,22
29,22
22,23
27,23
27,24
29,24
26,25
27,25
29,27
27,28
29,30
29,31
6,32
9,32
10,32
15,32
30,32
31,32
34,32
35,32
2,33
6,33
9,33
10,33
14,33
16,33
17,33
18,33
20,33
21,33
23,33
25,33
28,33
35,33
