i,j
8,1
1,2
3,2
4,2
6,2
27,2
28,2
29,2
30,2
32,2
33,2
34,2
35,2
36,2
41,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
1,3
4,3
5,3
7,3
11,3
12,3
15,3
18,3
19,3
21,3
22,3
24,3
27,3
37,3
38,3
39,3
40,3
42,3
43,3
44,3
52,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
8,4
8,5
8,9
20,9
8,10
20,10
8,11
20,11
8,12
20,12
8,13
20,13
8,14
20,14
9,17
10,17
13,17
14,17
16,17
66,17
67,17
68,17
69,17
70,17
71,17
85,17
86,17
87,17
88,17
89,17
23,24
23,25
23,26
31,32
31,33
31,34
25,63
26,63
64,65
