i,j
3,1
5,1
7,1
12,1
21,1
23,1
24,1
38,1
48,1
73,1
1,2
3,2
5,2
6,2
7,2
12,2
23,2
24,2
32,2
34,2
36,2
37,2
38,2
39,2
40,2
43,2
44,2
45,2
46,2
47,2
61,2
1,3
21,3
38,3
39,3
1,4
3,4
7,4
9,4
12,4
18,4
19,4
21,4
24,4
39,4
73,4
1,5
3,5
5,5
7,5
12,5
21,5
38,5
39,5
48,5
1,6
3,6
6,6
13,6
22,6
39,6
60,6
1,7
5,7
21,7
38,7
39,7
48,7
1,8
3,8
5,8
6,8
7,8
12,8
23,8
24,8
32,8
34,8
36,8
38,8
39,8
40,8
43,8
44,8
45,8
46,8
47,8
61,8
1,9
3,9
7,9
12,9
18,9
19,9
21,9
24,9
39,9
73,9
1,10
3,10
4,10
6,10
7,10
9,10
12,10
14,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
32,10
34,10
36,10
39,10
42,10
43,10
44,10
45,10
60,10
1,11
3,11
6,11
7,11
11,11
12,11
22,11
23,11
24,11
39,11
42,11
43,11
44,11
47,11
58,11
59,11
60,11
64,11
1,12
5,12
7,12
12,12
21,12
38,12
39,12
48,12
1,13
3,13
5,13
7,13
12,13
13,13
18,13
19,13
21,13
23,13
24,13
35,13
37,13
38,13
39,13
40,13
48,13
64,13
1,14
3,14
7,14
9,14
12,14
18,14
19,14
21,14
24,14
39,14
73,14
1,15
3,15
7,15
12,15
13,15
22,15
23,15
32,15
35,15
38,15
39,15
43,15
44,15
45,15
46,15
47,15
1,16
3,16
5,16
7,16
12,16
19,16
21,16
23,16
38,16
39,16
60,16
73,16
75,16
1,17
3,17
7,17
9,17
12,17
18,17
19,17
21,17
39,17
73,17
1,18
3,18
5,18
7,18
12,18
18,18
19,18
31,18
48,18
73,18
1,19
3,19
5,19
7,19
12,19
19,19
21,19
39,19
48,19
73,19
1,20
3,20
7,20
9,20
12,20
18,20
19,20
21,20
31,20
39,20
73,20
1,21
3,21
5,21
7,21
12,21
21,21
39,21
73,21
1,22
3,22
5,22
7,22
12,22
13,22
18,22
19,22
21,22
22,22
23,22
31,22
35,22
37,22
38,22
39,22
40,22
48,22
64,22
1,23
5,23
21,23
35,23
38,23
39,23
48,23
1,24
5,24
21,24
38,24
