i,j
1,1
3,1
5,1
6,1
7,1
8,1
9,1
10,1
1,2
3,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
1,3
3,3
5,3
6,3
7,3
8,3
9,3
10,3
1,4
3,4
5,4
6,4
7,4
8,4
9,4
10,4
7,5
8,5
9,5
10,5
17,5
7,6
8,6
9,6
10,6
17,6
11,7
13,7
15,7
18,7
19,7
7,8
9,8
11,8
13,8
15,8
17,8
19,8
7,9
9,9
11,9
13,9
15,9
17,9
19,9
13,11
15,11
18,11
19,11
21,11
22,11
23,11
24,11
11,12
13,12
15,12
16,12
18,12
19,12
21,12
22,12
23,12
24,12
20,13
21,13
22,13
23,13
24,13
13,14
15,14
16,14
18,14
19,14
21,14
22,14
23,14
24,14
15,15
15,16
15,17
21,18
22,18
23,18
24,18
20,19
21,19
22,19
23,19
24,19
4,25
4,26
10,26
12,26
14,26
11,27
12,27
14,27
