i,j
1,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
1,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
1,28
5,28
6,28
7,28
8,28
9,28
11,28
14,28
15,28
16,28
19,28
20,28
21,28
23,28
24,28
26,28
27,28
1,29
4,29
10,29
16,29
24,29
5,30
6,30
7,30
9,30
10,30
12,30
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,30
21,30
22,30
23,30
24,30
25,30
27,30
8,31
9,31
17,31
18,31
19,31
24,31
26,31
27,31
