i,j
18,1
59,1
1,2
25,2
25,3
3,4
16,4
18,4
25,4
26,4
28,4
38,4
41,4
77,4
3,5
16,5
18,5
25,5
26,5
28,5
41,5
77,5
2,6
3,6
16,6
18,6
25,6
26,6
28,6
38,6
41,6
55,6
56,6
68,6
72,6
73,6
77,6
2,7
3,7
18,7
25,7
26,7
28,7
38,7
41,7
55,7
56,7
68,7
72,7
73,7
77,7
2,8
3,8
16,8
18,8
25,8
26,8
28,8
38,8
41,8
55,8
56,8
68,8
72,8
73,8
77,8
2,9
3,9
16,9
18,9
25,9
26,9
28,9
38,9
41,9
55,9
56,9
68,9
73,9
77,9
2,10
3,10
16,10
18,10
25,10
26,10
28,10
38,10
41,10
55,10
56,10
68,10
72,10
73,10
77,10
2,11
3,11
16,11
25,11
55,11
56,11
68,11
72,11
73,11
77,11
3,12
25,12
58,12
61,12
3,13
25,13
56,13
58,13
59,13
61,13
71,13
72,13
74,13
77,13
3,14
25,14
58,14
61,14
74,14
77,14
3,15
25,15
2,16
3,16
25,16
55,16
74,16
75,16
3,17
23,17
67,17
3,18
6,18
7,18
8,18
9,18
10,18
11,18
16,18
23,18
26,18
27,18
28,18
29,18
34,18
36,18
37,18
38,18
41,18
56,18
3,19
16,19
17,19
18,19
23,19
59,19
68,19
3,20
16,20
17,20
18,20
23,20
59,20
68,20
3,21
16,21
17,21
18,21
23,21
59,21
68,21
3,22
17,22
18,22
23,22
59,22
68,22
25,23
4,24
5,24
17,24
23,24
41,24
6,25
7,25
8,25
9,25
10,25
11,25
13,25
14,25
17,25
18,25
23,25
27,25
29,25
31,25
32,25
33,25
34,25
35,25
36,25
37,25
39,25
40,25
41,25
42,25
47,25
48,25
49,25
50,25
51,25
52,25
54,25
56,25
25,26
16,27
18,27
25,27
26,27
28,27
38,27
68,27
77,27
25,28
2,29
25,29
68,29
71,29
72,29
73,29
74,29
75,29
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
14,30
18,30
27,30
29,30
31,30
32,30
34,30
35,30
36,30
37,30
39,30
40,30
41,30
42,30
43,30
47,30
48,30
49,30
50,30
51,30
52,30
54,30
56,30
11,31
18,31
25,31
38,31
77,31
11,32
18,32
25,32
38,32
77,32
25,33
68,33
73,33
25,34
58,34
61,34
68,34
71,34
72,34
77,34
11,35
18,35
25,35
38,35
58,35
61,35
77,35
25,36
58,36
61,36
68,36
71,36
72,36
77,36
25,37
58,37
61,37
68,37
71,37
72,37
77,37
11,38
18,38
25,38
41,38
77,38
11,39
18,39
25,39
38,39
41,39
77,39
11,40
18,40
25,40
38,40
41,40
77,40
2,41
25,41
55,41
58,41
61,41
68,41
71,41
72,41
73,41
74,41
75,41
77,41
18,42
25,42
41,42
77,42
16,43
25,43
41,43
58,43
61,43
77,43
16,44
25,44
41,44
58,44
61,44
77,44
25,45
41,45
58,45
61,45
77,45
25,46
41,46
58,46
61,46
77,46
25,47
58,47
61,47
68,47
77,47
25,48
58,48
61,48
68,48
77,48
16,49
25,49
58,49
61,49
68,49
77,49
16,50
25,50
68,50
11,51
16,51
18,51
25,51
58,51
61,51
77,51
16,52
25,52
58,52
61,52
68,52
77,52
6,53
7,53
8,53
9,53
10,53
11,53
12,53
13,53
14,53
18,53
27,53
56,53
58,53
61,53
25,54
25,55
68,55
71,55
75,55
2,56
25,56
58,56
59,56
61,56
68,56
71,56
72,56
74,56
75,56
2,57
25,57
56,57
58,57
59,57
68,57
71,57
72,57
74,57
75,57
2,58
25,58
56,58
59,58
61,58
68,58
71,58
72,58
74,58
75,58
25,59
56,59
58,59
61,59
71,59
72,59
74,59
2,60
15,60
16,60
25,60
56,60
58,60
59,60
61,60
68,60
71,60
72,60
74,60
77,60
2,62
15,62
16,62
25,62
58,62
61,62
68,62
71,62
72,62
74,62
77,62
59,63
59,64
59,65
59,66
25,68
69,68
25,69
2,70
25,70
69,70
74,70
75,70
76,70
25,71
25,72
25,73
25,74
25,75
25,76
25,77
25,78
