i,j
67,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
67,3
49,4
54,4
49,5
66,5
67,5
67,6
67,13
67,14
66,15
67,15
66,17
49,18
65,18
67,21
67,22
67,23
49,26
67,28
67,29
67,32
67,33
34,34
1,35
4,35
5,35
6,35
7,35
8,35
9,35
10,35
12,35
13,35
14,35
15,35
16,35
17,35
18,35
19,35
22,35
23,35
24,35
25,35
26,35
27,35
28,35
31,35
32,35
33,35
34,35
50,35
54,35
1,36
3,36
13,36
15,36
16,36
26,36
31,36
33,36
54,36
1,37
15,37
18,37
26,37
1,38
26,38
1,39
3,39
15,39
50,39
1,40
5,40
6,40
9,40
13,40
15,40
28,40
32,40
33,40
50,40
54,40
1,41
13,41
15,41
28,41
32,41
50,41
1,42
15,42
50,42
1,43
15,43
50,43
1,44
13,44
21,44
28,44
32,44
50,44
1,45
28,45
32,45
1,46
4,47
67,47
1,48
4,48
15,48
26,48
13,51
15,51
50,51
13,52
32,52
50,52
28,53
50,53
67,54
28,55
54,55
54,56
66,56
67,56
13,57
13,58
13,59
13,60
15,61
15,62
28,63
32,63
28,64
67,66
67,68
