i,j
1,1
1,2
3,2
4,2
11,2
4,4
19,4
36,4
4,5
18,5
20,5
23,5
28,5
29,5
36,5
37,5
40,5
41,5
5,6
7,6
8,6
9,6
10,6
12,6
13,6
14,6
15,6
16,6
17,6
36,7
4,8
28,8
3,9
4,9
18,9
19,9
20,9
22,9
23,9
29,9
36,9
37,9
38,9
41,9
4,10
7,10
10,10
18,10
19,10
20,10
21,10
22,10
23,10
27,10
28,10
29,10
30,10
36,10
37,10
38,10
40,10
41,10
3,11
11,11
21,11
3,12
4,12
12,12
20,12
23,12
29,12
4,13
10,13
12,13
20,13
21,13
36,13
41,13
4,14
10,14
18,14
19,14
20,14
21,14
22,14
23,14
29,14
30,14
36,14
37,14
38,14
41,14
4,15
10,15
12,15
20,15
21,15
23,15
36,15
41,15
10,16
12,16
20,16
23,16
29,16
41,16
1,17
4,17
10,17
18,17
19,17
20,17
21,17
22,17
23,17
30,17
36,17
37,17
38,17
41,17
18,18
27,18
28,18
40,18
4,19
18,19
19,19
23,19
27,19
28,19
36,19
37,19
41,19
4,20
18,20
19,20
28,20
36,20
40,20
1,21
4,21
18,21
27,21
28,21
36,21
1,22
4,22
18,22
19,22
28,22
31,22
36,22
1,23
3,23
4,23
18,23
19,23
20,23
21,23
23,23
28,23
29,23
30,23
31,23
36,23
37,23
38,23
40,23
41,23
1,24
4,24
18,24
19,24
21,24
23,24
27,24
28,24
29,24
36,24
37,24
1,25
4,25
18,25
19,25
23,25
27,25
28,25
29,25
31,25
36,25
1,26
3,26
4,29
28,29
4,30
10,30
18,30
19,30
20,30
23,30
28,30
30,30
31,30
36,30
37,30
38,30
4,31
18,31
19,31
28,31
31,31
36,31
37,31
40,31
41,31
18,32
28,32
19,33
28,33
4,34
18,34
28,34
36,34
37,34
18,35
19,35
20,35
21,35
22,35
23,35
28,35
31,35
36,35
37,35
38,35
40,35
41,35
4,36
18,36
36,36
41,36
4,37
18,37
19,37
23,37
31,37
36,37
37,37
40,37
4,38
18,38
19,38
36,38
37,38
4,39
18,39
19,39
31,39
36,39
40,39
41,39
12,42
14,42
17,42
23,42
30,42
10,43
12,43
13,43
14,43
16,43
17,43
42,43
