i,j
1,2
5,2
9,2
13,2
1,3
5,3
9,3
13,3
1,4
2,4
5,4
6,4
9,4
10,4
13,4
14,4
18,4
1,6
5,6
9,6
13,6
1,7
5,7
9,7
13,7
1,8
2,8
5,8
6,8
9,8
10,8
13,8
14,8
18,8
1,10
5,10
9,10
13,10
1,11
2,11
5,11
6,11
9,11
10,11
13,11
14,11
18,11
1,12
2,12
5,12
6,12
9,12
10,12
13,12
14,12
18,12
1,14
5,14
9,14
13,14
1,15
5,15
9,15
13,15
1,16
5,16
9,16
13,16
1,17
2,17
5,17
6,17
9,17
10,17
13,17
14,17
18,17
1,19
5,19
9,19
13,19
1,20
5,20
9,20
13,20
1,21
2,21
5,21
6,21
9,21
10,21
13,21
14,21
18,21
1,22
3,22
4,22
5,22
7,22
8,22
9,22
11,22
12,22
13,22
15,22
16,22
17,22
19,22
20,22
21,22
23,22
24,22
25,22
26,22
27,22
28,22
29,22
30,22
31,22
32,22
33,22
