i,j
5,1
8,1
1,2
5,2
6,2
7,2
8,2
9,2
10,2
14,2
15,3
16,3
17,3
18,3
20,3
21,3
22,3
23,3
25,3
27,3
28,3
29,3
3,4
5,5
6,5
8,5
9,5
14,5
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
27,6
29,6
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
22,7
23,7
24,7
26,7
27,7
29,7
15,8
29,8
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
17,11
18,11
19,11
20,11
21,11
22,11
24,11
25,11
26,11
27,11
28,11
29,11
18,12
19,12
20,12
21,12
22,12
27,12
28,12
29,12
16,13
17,13
18,13
19,13
21,13
22,13
26,13
27,13
28,13
29,13
18,14
19,14
20,14
21,14
22,14
23,14
24,14
25,14
26,14
27,14
28,14
29,14
18,15
21,15
24,15
25,15
26,15
27,15
28,15
29,15
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,16
19,17
21,17
23,17
24,17
27,17
28,17
29,17
18,18
19,18
20,18
23,18
24,18
25,18
27,18
28,18
29,18
18,19
19,19
20,19
21,19
22,19
23,19
25,19
26,19
27,19
28,19
29,19
18,20
19,20
20,20
21,20
22,20
23,20
24,20
25,20
26,20
27,20
28,20
29,20
29,21
27,22
28,22
29,22
23,23
29,23
29,24
29,25
29,26
27,27
28,27
29,27
27,28
29,28
28,29
29,29
