i,j
1,1
15,1
17,1
18,1
22,1
24,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
22,2
24,2
1,3
15,3
17,3
18,3
21,3
22,3
24,3
1,4
15,4
17,4
18,4
22,4
24,4
4,5
15,5
16,5
17,5
18,5
20,5
21,5
22,5
24,5
1,6
15,6
16,6
17,6
18,6
22,6
24,6
1,7
15,7
16,7
18,7
19,7
21,7
24,7
1,8
4,8
15,8
16,8
17,8
18,8
19,8
21,8
22,8
24,8
1,9
4,9
6,9
17,9
19,9
20,9
22,9
24,9
1,10
3,10
4,10
5,10
6,10
7,10
8,10
10,10
11,10
13,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
24,10
25,10
3,11
4,11
5,11
6,11
7,11
9,11
10,11
11,11
12,11
18,11
19,11
21,11
24,12
1,13
4,13
5,13
6,13
7,13
8,13
10,13
12,13
13,13
15,13
16,13
18,13
19,13
20,13
21,13
22,13
24,13
25,13
1,14
4,14
5,14
6,14
12,14
15,14
16,14
18,14
19,14
20,14
21,14
22,14
24,14
18,15
15,17
18,17
15,18
24,18
15,19
16,19
22,19
24,19
15,20
20,20
24,20
15,21
16,21
17,21
24,21
16,22
1,23
3,23
4,23
5,23
6,23
7,23
8,23
10,23
12,23
13,23
14,23
17,23
18,23
19,23
21,23
24,23
25,23
24,24
18,25
19,25
21,25
22,25
3,26
9,26
10,26
11,26
12,26
